,,,,,,,,,,,
,subject_code,subject_name,,,,units,prerequisite,,,year,semester
,CCP 1101,Computer Programming 1,,,,3,,,,1,1
,CIC 1101,Introduction to Computing,,,,3,,,,1,1
,CSP 1101,Social and Professional Issues in Computing,,,,3,,,,1,1
,MLC 1101,Literacy/Civic Welfare/Military Science 1,,,,3,"E-STC 1101, E-STL 1101, E-STM 1101",,,1,1
,PPF 1101,PATHFIT 1 (Movement Education),,,,2,,,,1,1
,ZGE 1102,The Contemporary World,,,,3,,,,1,1
,ZGE 1108,Understanding the Self,,,,3,,,,1,1
,CCP 1102,Computer Programming 2,,,,3,P-CCP 1101,,,1,2
,CDS 1101,Data Structures and Algorithms,,,,3,P-CCP 1101,,,1,2
,CFD 1101,Fundamentals of Database Systems,,,,3,P-CCP 1101,,,1,2
,MLC 1102,Literacy/Civic Welfare/Military Science 2,,,,3,"E-STC 1102, E-STL 1102, E-STM 1102, P-MLC 1101",,,1,2
,PPF 1201,PATHFIT 2 (Physical Fitness),,,,2,"E-PEN 4306, P-PPF 1101",,,1,2
,ZGE 1104,Mathematics in the Modern World,,,,3,,,,1,2
,ZGE 1105,Purposive Communication,,,,3,,,,1,2
,ZGE 1106,Readings in Philippine History,,,,3,,,,1,2
,,,,,,,,,,,
,CBM 1101,Business Process Management,,,,3,"E-, P-CIC 1101",,,2,1
,CCP 1103,Computer Programming 3,,,,3,P-CCP 1102,,,2,1
,CDE 1101,Applications Development and Emerging Technologies,,,,3,P-CCP 1102,,,2,1
,CDM 1101,Discrete Mathematics for ITE,,,,3,P-CDS 1101,,,2,1
,CIM 1101,Information Management,,,,3,P-CFD 1101,,,2,1
,CIT 2101,Application of Statistics in IT,,,,3,,,,2,1
,CIT 2102,"Hardware, Software, and Peripherals",,,,3,,,,2,1
,PPF 2101,PATHFIT 3,,,,2,"E-PEN 4310, E-PPF 2301, E-PPF 2303, E-PPF 2304, E-PPF 2306, E-PPF 2308, E-PPF 2309, E-PPF 2310, E-PPF 2311, E-PPF 2313, E-PPF 2315, E-PPF 2320, P-PPF 1101, P-PPF 1201",,,2,1
,CDT 1101,Data Analytics,,,,3,P-CIM 1101,,,2,2
,CHC 1101,Human Computer Interaction,,,,3,P-CIC 1101,,,2,2
,CIA 1101,Information Assurance and Security 1,,,,3,P-CCP 1103,,,2,2
,CIP 1101,Integrative Programming and Technologies 1,,,,3,"P-CCP 1103, P-CDE 1101",,,2,2
,CIT 2201,Networking 1,,,,3,P-CIT 2102,,,2,2
,CSA 1101,"Systems Analysis, Design and Prototyping",,,,3,"P-CBM 1101, P-CIM 1101",,,2,2
,PPF 2201,PATHFIT 4,,,,2,"E-PPF 2301, E-PPF 2303, E-PPF 2304, E-PPF 2306, E-PPF 2308, E-PPF 2309, E-PPF 2310, E-PPF 2311, E-PPF 2313, E-PPF 2315, E-PPF 2320, P-PPF 1101, P-PPF 1201",,,2,2
,ZGE EL01,GE Elective 1,,,,3,"E-ZGE 4301, E-ZGE 4304, E-ZGE 4305, E-ZGE 4307, E-ZGE 4309",,,2,2
,CIP 1102,Integrative Programming and Technologies 2,,,,3,P-CIP 1101,,,2,Summer
,CIT 2301,Platform Technologies,,,,3,P-CIA 1101,,,2,Summer
,,,,,,,,,,,
,CIA 1102,Information Assurance and Security 2,,,,3,"P-CIA 1101, P-CIT 2201",,,3,1
,CIT 3101,Networking 2,,,,3,P-CIT 2201,,,3,1
,CIT 3102,Systems Integration and Architecture,,,,3,"P-CDT 1101, P-CSA 1101",,,3,1
,CIT EL01,Professional Elective 1,,,,3,E-CIT 4302,,,3,1
,CMR 1101,Methods of Research for IT/IS,,,,3,"P-CDT 1101, P-CIP 1102, P-CSA 1101",,,3,1
,CMS 1101,Multimedia Systems,,,,3,P-CHC 1101,,,3,1
,ZGE 1103,Ethics,,,,3,,,,3,1
,ZGE 1109,Life and Works of Rizal,,,,3,,,,3,1
,CIT 3201,Networking 3,,,,3,P-CIT 3101,,,3,2
,CIT EL02,Professional Elective 2,,,,3,E-CIS 3003,,,3,2
,CNA 1101,Numerical Analysis for ITE,,,,3,,,,3,2
,CPP 4980,Capstone Project and Research 1,,,,3,P-CMR 1101,,,3,2
,ZGE 1101,Art Appreciation,,,,3,,,,3,2
,ZGE 1107,"Science, Technology, and Society",,,,3,,,,3,2
,ZGE EL02,GE Elective 2,,,,3,"E-ZGE 4301, E-ZGE 4304, E-ZGE 4307",,,3,2
,ZPD 1102,Effective Communication with Personality Development,,,,3,,,,3,2
,,,,,,,,,,,
,CIT 4101,Certification Course,,,,3,"P-CIT 2301, P-CIT 3201",,,4,1
,CIT 4102,Systems Administration and Maintenance,,,,3,E-CIT 4304,,,4,1
,CIT EL03,Professional Elective 3,,,,3,E-CCS 2102,,,4,1
,CIT EL04,Professional Elective 4,,,,3,P-CPP 4980,,,4,1
,CPD 4990,Capstone Project and Research 2,,,,3,,,,4,1
,CQM 1101,Quantitative Methods (including Modeling and Simulation),,,,3,"E-ZGE 4305, E-ZGE 4307, E-ZGE 4309",,,4,1
,ZGE EL03,GE Elective 3,,,,3,,,,4,1
,CPR 4970,Practicum for IT/IS,,,,6,,,,4,2
